Metric,Value
TCP Packets,116
UDP Packets,5
ICMP Packets,0
Total Packets,121
Top Talker,192.168.1.6
Top Talker Packet Count,58

IP Address,Packet Count
104.18.32.47,14
192.168.1.6,58
172.64.148.235,7
100.55.140.97,2
138.91.182.224,2
20.42.65.93,3
74.125.200.188,2
65.9.168.72,1
52.55.206.238,1
44.252.242.80,1
35.190.80.1,1
50.17.200.247,4
20.184.175.17,15
3.217.173.13,2
104.18.39.21,8

Source IP,Destination Ports
104.18.32.47,57209
192.168.1.6,"443, 5228"
172.64.148.235,49291
100.55.140.97,"53922, 59028"
138.91.182.224,56785
20.42.65.93,51406
74.125.200.188,52225
65.9.168.72,59424
52.55.206.238,52844
44.252.242.80,51380
35.190.80.1,64384
50.17.200.247,62482
20.184.175.17,56798
3.217.173.13,62483
104.18.39.21,62554
